name,address,phone,website,type,degrees,campus_setting,campus_housing,student_population,student_teacher_ratio
Advanced Technology Institute,"Advanced Technology Institute5700 Southern Blvd Ste 100, Virginia Beach, Virginia 23462",(757) 490-1241,www.auto.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Large,No,461 (all undergraduate),14 to 1
American National University,"American National University1813 East Main Street, Salem, Virginia 24153",(540) 986-1800,www.an.edu/locations/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,Suburb: Midsize,No,931 (810 undergraduate),39 to 1
Aviation Institute of Maintenance-Manassas,"Aviation Institute of Maintenance-Manassas10640 Davidson Place, Manassas, Virginia 20109",(703) 257-5515,www.aviationmaintenance.edu/campuses/washington-dc-va/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificate,Suburb: Large,No,181 (all undergraduate),11 to 1
Aviation Institute of Maintenance-Norfolk,"Aviation Institute of Maintenance-Norfolk2329 E. Little Creek Road, Norfolk, Virginia 23518",(757) 363-2121,www.aviationmaintenance.edu/campuses/norfolk-va/,"2-year, Private for-profit",One but less than two years certificateTwo but less than 4 years certificate,City: Midsize,No,230 (all undergraduate),15 to 1
Blue Ridge Community College,"Blue Ridge Community College1 College Lane, Weyers Cave, Virginia 24486-0080",(540) 234-9261,www.brcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"3,462 (all undergraduate)",18 to 1
Bon Secours St Mary's Hospital School of Medical Imaging,"Bon Secours St Mary's Hospital School of Medical Imaging8550 Magellan Pkwy Ste 700, Richmond, Virginia 23227",(804) 627-5408,www.mysomi.org/,"2-year, Private not-for-profit",Two but less than 4 years certificate,Suburb: Large,No,29 (all undergraduate),5 to 1
Bryant & Stratton College-Virginia Beach,"Bryant & Stratton College-Virginia Beach301 Centre Pointe Dr, Virginia Beach, Virginia 23462",(757) 499-7900,www.bryantstratton.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Large,No,"1,515 (all undergraduate)",18 to 1
Centra College,"Centra College905 Lakeside Dr., Suite A, Lynchburg, Virginia 24501",(434) 200-3070,www.centrahealth.com/ccon,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Small,No,314 (all undergraduate),11 to 1
Central Virginia Community College,"Central Virginia Community College3506 Wards Rd, Lynchburg, Virginia 24502-2498",(434) 832-7600,www.centralvirginia.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,City: Small,No,"3,370 (all undergraduate)",19 to 1
Centura College-Chesapeake,"Centura College-Chesapeake932 B Ventures Way, Chesapeake, Virginia 23320",(757) 549-2121,www.centuracollege.edu/campuses/chesapeake/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,Suburb: Large,No,164 (all undergraduate),14 to 1
Centura College-Newport News,"Centura College-Newport News616 Denbigh Blvd., Newport News, Virginia 23608",(757) 874-2121,www.centuracollege.edu/campuses/newport-news/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,195 (all undergraduate),13 to 1
Centura College-Norfolk,"Centura College-Norfolk7020 North Military Highway, Norfolk, Virginia 23518-4833",(757) 853-2121,www.centuracollege.edu/campuses/norfolk/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,213 (all undergraduate),8 to 1
Centura College-Richmond Main,"Centura College-Richmond Main7914 Midlothian Turnpike, North Chesterfield, Virginia 23235-5250",(804) 330-0111,www.centuracollege.edu/campuses/richmond/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,160 (all undergraduate),11 to 1
Centura College-Virginia Beach,"Centura College-Virginia Beach2697 Dean Dr. Ste. 100, Virginia Beach, Virginia 23452-7431",(757) 340-2121 x310,www.centuracollege.edu/campuses/virginia-beach/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,City: Large,No,99 (all undergraduate),8 to 1
Chester Career College,"Chester Career College751 WEST HUNDRED ROAD, CHESTER, Virginia 23836",(804) 425-5797,chestercareercollege.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,159 (all undergraduate),20 to 1
Columbia College,"Columbia College5940 Centreville Crest Lane, Centreville, Virginia 20121",(703) 266-0508,www.ccdc.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,185 (all undergraduate),15 to 1
Columbia College,"Columbia College8620 Westwood Center Drive, Vienna, Virginia 22182",(703) 206-0508,www.ccdc.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,371 (all undergraduate),18 to 1
Dabney S Lancaster Community College,"Dabney S Lancaster Community College1000 Dabney Drive, Clifton Forge, Virginia 24422-1000",(540) 863-2800,www.dslcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"1,075 (all undergraduate)",17 to 1
Danville Community College,"Danville Community College1008 S Main St, Danville, Virginia 24541-4004",(434) 797-2222,www.danville.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Town: Distant,No,"2,411 (all undergraduate)",20 to 1
Eastern Shore Community College,"Eastern Shore Community College29300 Lankford Hwy, Melfa, Virginia 23410",(757) 789-1789,www.es.vccs.edu/,"2-year, Public",One but less than two years certificateAssociate's degree,Rural: Remote,No,677 (all undergraduate),16 to 1
Eastern Virginia Career College,"Eastern Virginia Career College10304 Spotsylvania Ave, Suite 400, Fredericksburg, Virginia 22408",(540) 373-4465 x221,www.evcc.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Suburb: Midsize,No,190 (all undergraduate),7 to 1
ECPI University,"ECPI University5555 Greenwich Rd, Virginia Beach, Virginia 23462",(757) 490-9090,www.ecpi.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,City: Large,No,"14,353 (13,983 undergraduate)",16 to 1
Fortis College-Norfolk,"Fortis College-Norfolk6300 Center Dr Bldg 22, Norfolk, Virginia 23502-4101",(757) 499-5447 x1344,www.fortisedu.info/cig-vabeach.php,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,454 (all undergraduate),27 to 1
Fortis College-Richmond,"Fortis College-Richmond2000 Westmoreland Street, Suite A, Richmond, Virginia 23230",(804) 323-1020,www.fortis.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,507 (all undergraduate),25 to 1
Germanna Community College,"Germanna Community College2130 Germanna Hwy, Locust Grove, Virginia 22508-2102",(540) 423-9030,www.germanna.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"7,679 (all undergraduate)",25 to 1
J Sargeant Reynolds Community College,"J Sargeant Reynolds Community College1651 East Parham Road, Richmond, Virginia 23228-2327",(804) 371-3000,www.reynolds.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,"7,759 (all undergraduate)",21 to 1
John Tyler Community College,"John Tyler Community College13101 Jefferson Davis Hwy, Chester, Virginia 23831-5316",(804) 796-4000,jtcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,"9,440 (all undergraduate)",22 to 1
Life Pacific University-Virginia,"Life Pacific University-Virginia900 Life Drive, Christiansburg, Virginia 24073",(540) 394-7200,www.lifepacific.edu/virginiacampus,"2-year, Private not-for-profit",Associate's degree,City: Small,No,Life Pacific University (Parent):Life Pacific University-Virginia,
Lord Fairfax Community College,"Lord Fairfax Community College173 Skirmisher Lane, Middletown, Virginia 22645",(800) 906-5322,www.lfcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"6,337 (all undergraduate)",23 to 1
Mountain Empire Community College,"Mountain Empire Community College3441 Mountain Empire Road, Big Stone Gap, Virginia 24219",(276) 523-2400,www.mecc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Town: Distant,No,"2,253 (all undergraduate)",19 to 1
