name,address,phone,website,type,degrees,campus_setting,campus_housing,student_population,student_teacher_ratio,tot_enrol,undergrad_enrol,latitude,longitude,geoid
American National University,1813 East Main Street Salem Virginia 24153,(540) 986-1800,www.an.edu/locations/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,Suburb: Midsize,No,931 (810 undergraduate),39 to 1,931.0,810,37.2997396,-80.0234938,515900010001
Antioch College AG,1705 Todds Ln Hampton Virginia 23666,(757) 826-1883 x236,antiochcollegeag.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Midsize,No,35 (all undergraduate),5 to 1,35.0,all,37.0403518,-76.4093118,510872003051
Appalachian College of Pharmacy,1060 Dragon Road Oakwood Virginia 24631,(276) 498-4190 x5230,www.acp.edu/,"4-year, Private not-for-profit",Doctor's degree - professional practice,Rural: Remote,No,180 (0 undergraduate),,180.0,0,37.22531,-81.9794579,516300003011
Appalachian School of Law,1169 Edgewater Drive Grundy Virginia 24614,(276) 935-4349 x1231,www.asl.edu/,"4-year, Private not-for-profit",Master's degreeDoctor's degree - professional practice,Rural: Remote,No,170 (0 undergraduate),,170.0,0,37.2780504,-82.0964692,517100066064
Averett University,420 W Main St Danville Virginia 24541,(434) 791-5600,www.averett.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degree,Town: Distant,Yes,887 (all undergraduate),12 to 1,887.0,all,36.577241,-79.4130591,510131034021
Averett University-Non-Traditional Programs,420 W Main St Danville Virginia 24541,(800) 448-5233,gps.averett.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degreeMaster's degreePost-master's certificate,Town: Distant,No,472 (196 undergraduate),9 to 1,472.0,196,36.577241,-79.4130591,510594711001
Bluefield College,3000 College Avenue Bluefield Virginia 24605,(276) 326-3682,www.bluefield.edu/,"4-year, Private not-for-profit",Associate's degreeBachelor's degreeMaster's degree,Town: Distant,Yes,965 (753 undergraduate),14 to 1,965.0,753,37.2445422,-81.2462472,510594913031
Bluefield College - Edward Via College of Osteopathic Medicine,2265 Kraft Drive Blacksburg Virginia 24060-6832,(276) 326-3682,www.bluefield.edu/,"4-year, Private not-for-profit",Master's degree,City: Small,Bluefield College (Parent):Bluefield College - Edward Via College of Osteopathic Medicine,,,,,37.1996852,-80.4060554,516500103121
Bon Secours Memorial College of Nursing,8550 Magellan Parkway Suite 1100 Richmond Virginia 23227-1149,(804) 627-5300,www.bsmcon.edu/,"4-year, Private not-for-profit",Bachelor's degree,Suburb: Large,No,456 (all undergraduate),12 to 1,456.0,all,37.6468246,-77.4329945,510594905023
Bridgewater College,402 E College St Bridgewater Virginia 22812-1599,(540) 828-8000,www.bridgewater.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,Suburb: Small,Yes,"1,597 (1,552 undergraduate)",13 to 1,597.0,1,38.3782559,-78.9693896,510411005053
