geoid,region_name,3sfca_capacity,2sfca30_capacity,norm_3sfca,norm_2sfca,college_capacity
51001,"Accomack County, Virginia",0,0,0,0,NA
51003,"Albemarle County, Virginia",3.0575243729142962,0.02662886043161812,18.34791518300642,8.12832197218293,NA
51005,"Alleghany County, Virginia",0.12461967089775548,0,0.7478308830574556,0,NA
51007,"Amelia County, Virginia",0.3891946758339872,0,2.3355205162512824,0,NA
51009,"Amherst County, Virginia",0.34767168139439447,0.001098900332843896,2.08634494569126,0.3354336451472176,881
51011,"Appomattox County, Virginia",7.678790098433782,0.09364382835238691,46.07969463212576,28.584294454157405,NA
51013,"Arlington County, Virginia",1.3382073328445396,0.09265998761323609,8.03045590014569,28.28398215511238,NA
51015,"Augusta County, Virginia",1.9420465495452384,0.022132979847643366,11.654038047305242,6.755977668194553,NA
51017,"Bath County, Virginia",0.12461967089775548,0,0.7478308830574556,0,NA
51019,"Bedford County, Virginia",0.26697490591005896,0,1.6020912124274953,0,NA
51021,"Bland County, Virginia",0,0,0,0,NA
51023,"Botetourt County, Virginia",0.06930462099217376,0,0.4158904893839922,0,NA
51025,"Brunswick County, Virginia",0,0,0,0,NA
51027,"Buchanan County, Virginia",0.3164189763342373,0.01606388837892418,1.89880041235473,4.903418875336721,1829
51029,"Buckingham County, Virginia",1.1518580845754043,0,6.912191649515971,0,NA
51031,"Campbell County, Virginia",4.907106438755138,0.0952688196649625,29.44708259069295,29.08031465091097,NA
51033,"Caroline County, Virginia",0.26014392718461743,0,1.5610991538255683,0,NA
51035,"Carroll County, Virginia",0,0,0,0,NA
51036,"Charles City County, Virginia",0.11425866641538542,0,0.6856554730632328,0,NA
51037,"Charlotte County, Virginia",1.1518580845754043,0,6.912191649515971,0,NA
51041,"Chesterfield County, Virginia",0.2230620325540504,0,1.3385742040544168,0,NA
51043,"Clarke County, Virginia",0.23491458852723648,0.0018188760248088677,1.409700273767664,0.5552025027543501,NA
51045,"Craig County, Virginia",0.027818333562987446,0,0.16693519412889452,0,NA
51047,"Culpeper County, Virginia",0.05093463154644968,0,0.3056539165380964,0,NA
51049,"Cumberland County, Virginia",0.5759290422877021,0,3.4560958247579854,0,NA
