name,address,phone,website,type,degrees,campus_setting,campus_housing,student_population,student_teacher_ratio
American Massage & Bodywork Institute,"American Massage & Bodywork Institute1593 Spring Hill Road, Suite 210, Vienna, Virginia 22182-2245",(571) 620-7170,www.ambimassageschool.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,99 (all undergraduate),10 to 1
Another Level Barbering and Cosmetology School,"Another Level Barbering and Cosmetology School102 North Sycamore Street, Petersburg, Virginia 23803-3245",(804) 733-3337,www.albcschool.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,7 (all undergraduate),2 to 1
Asher Institute of Hampton,"Asher Institute of Hampton4107 West Mercury Blvd, Hampton, Virginia 23666",(757) 723-4809,www.aiofhampton.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Midsize,No,8 (all undergraduate),17 to 1
Avi Career Training,"Avi Career Training10130-a Colvin Run Rd, Great Falls, Virginia 22066",(703) 759-2200,www.avicareertraining.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,36 (all undergraduate),7 to 1
Bristol School of Hair Design,"Bristol School of Hair Design805 Commonwealth Avenue, Bristol, Virginia 24201-3323",(276) 669-2112,www.bristolschoolofhairdesign.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Small,No,37 (all undergraduate),15 to 1
Cayce/Reilly School of Massage,"Cayce/Reilly School of Massage215 67th Street, Virginia Beach, Virginia 23451",(757) 457-7270,www.edgarcayce.org/massageschool/home.aspx,"< 2-year, Private not-for-profit",Less than one year certificate,City: Large,No,42 (all undergraduate),12 to 1
Central School of Practical Nursing,"Central School of Practical Nursing1330 N Millitary Hwy, Norfolk, Virginia 23502",(757) 892-3300,www.npsk12.com/domain/980,"< 2-year, Public",One but less than two years certificate,City: Midsize,No,28 (all undergraduate),7 to 1
CET-Alexandria,"CET-Alexandria6295 Edsall Rd, Plaza 500, Ste. 220, Alexandria, Virginia 22312",(408) 287-7924,cetweb.edu/,"< 2-year, Private not-for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,101 (all undergraduate),20 to 1
Culpeper Cosmetology Training Center,"Culpeper Cosmetology Training Center311 South East Street #120, Culpeper, Virginia 22701-1055",(540) 727-8003,www.culpepercosmetology.com/,"< 2-year, Public",One but less than two years certificate,Town: Distant,No,26 (all undergraduate),13 to 1
Dermal Science International Aesthetics and Nail Academy,"Dermal Science International Aesthetics and Nail Academy11301 Sunset Hills Rd Suite A-5, Reston, Virginia 20190",(703) 910-2323,dsiacademy.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Small,No,56 (all undergraduate),12 to 1
